arm,case_writer,answering_model,correct,runs,reasoning_effort
project,gpt-6-astra,gpt-6-astra,20,40,medium
project,gpt-6-astra,claude-opus-5,9,40,medium
project,gpt-6-astra,grok-4.6,10,40,medium
project,claude-opus-5,gpt-6-astra,20,40,medium
project,claude-opus-5,claude-opus-5,16,40,medium
project,claude-opus-5,grok-4.6,14,40,medium
project,grok-4.6,gpt-6-astra,19,40,medium
project,grok-4.6,claude-opus-5,14,40,medium
project,grok-4.6,grok-4.6,8,40,medium
options_only,gpt-6-astra,gpt-6-astra,23,40,medium
options_only,gpt-6-astra,claude-opus-5,18,40,medium
options_only,gpt-6-astra,grok-4.6,16,40,medium
options_only,claude-opus-5,gpt-6-astra,30,40,medium
options_only,claude-opus-5,claude-opus-5,28,40,medium
options_only,claude-opus-5,grok-4.6,23,40,medium
options_only,grok-4.6,gpt-6-astra,22,40,medium
options_only,grok-4.6,claude-opus-5,25,40,medium
options_only,grok-4.6,grok-4.6,22,40,medium
